site_no,min_date,max_date,lam1Obs,tau2Obs,tau3Obs,tau4Obs,ar1Obs,amplitudeObs,phaseObs,med_flowObs,cv_flowObs,cv_dailyObs,flow_10Obs,flow_25Obs,flow_50Obs,flow_75Obs,flow_90Obs,flow_15Obs,ma1_mean_disc,ma2_median_disc,ma3_mean_annual_var,ma4,ma5_skew,ma6,ma7,ma8,ma9,ma10,ma11,ma12_jan_mean,ma13_feb_mean,ma14_mar_mean,ma15_apr_mean,ma16_may_mean,ma17_june_mean,ma18_july_mean,ma19_aug_mean,ma20_sep_mean,ma21_oct_mean,ma22_nov_mean,ma23_dec_mean,ma24_jan_var,ma25_feb_var,ma26_mar_var,ma27_apr_var,ma28_may_var,ma29_jun_var,ma30_july_var,ma31_aug_var,ma32_sep_var,ma33_oct_var,ma34_nov_var,ma35_dec_var,ma36,ma37_var_across_months,ma38,ma39_monthly_std_dev,ma40_monthly_skewness,ma41,ma42,ma43,ma44,ma45,ml1,ml2,ml3,ml4,ml5,ml6,ml7,ml8,ml9,ml10,ml11,ml12,ml13_min_monthly_var,ml14_min_annual_flow,ml15,ml16,ml17,ml18,ml19,ml20,ml21,ml22,mh1,mh2,mh3,mh4,mh5,mh6,mh7,mh8,mh9,mh10,mh11,mh12,mh13,mh14_med_annual_max,mh15,mh16_high_flow_index,mh17,mh18,mh19,mh20,mh21,mh22,mh23,mh24,mh25,mh26_high_peak_flow,mh27,fl1_low_flood_pulse,fl2_low_pulse_var,fl3,fh1_high_pulse_count,fh2_high_pulse_var,fh3_high_pulse_count_three,fh4_high_pulse_count_seven,fh5,fh6,fh7,fh8,fh9,fh10,fh11,dl1_min_daily_flow,dl2_min_3_day_avg,dl3,dl4_min_30_day_avg,dl5_min_90_day_avg,dl6_min_flow_var,dl7,dl8,dl9_min_30_day_var,dl10_min_90_day_var,dl11,dl12,dl13,dl14,dl15,dl16,dl17,dl18_zero_flow_days,dl19,dl20,dh1,dh2,dh3,dh4,dh5_max_90_day_avg,dh6,dh7,dh8,dh9,dh10_max_90_day_var,dh11,dh12,dh13,dh14,dh15,dh16,dh17,dh18,dh19,dh20,dh21,dh22,dh23,dh24,ta1,ta2,ta3,tl1_min_flow_julian_day,tl2_min_julian_var,tl3,tl4,th1_max_flow_julian_day,th2_max_julian_var,th3,ra1_rise_rate,ra2_rise_rate_var,ra3_fall_rate,ra4_fall_rate_var,ra5,ra6,ra7,ra8,ra9,comment
CF182,10/1/88,9/30/14,0.23,0.82,0.75,0.56,0.05,0.05,1.35,0.22,0.4,3.04,0.003393,0.00905425,0.029495,0.135525,0.49325,0.005074,0.23,0.03,292.63,198.73,7.67,145.63,28.46,14.98,16.35,6.35,4.22,0.25,0.23,0.34,0.25,0.22,0.26,0.22,0.21,0.28,0.18,0.18,0.19,248,228,228,218,229,225,206,259,274,276,268,260,6.57,1.01,2.23,78.29,0.24,0.01,2.22,0.34,0.87,0.09,0.02,0.03,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0,0,0.01,199.84,0.04,0.01,0.02,0.01,84.72,0.5,0.11,118.18,0,2.92,2.58,3.82,2.54,2.5,2.66,1.83,2.73,3.36,2.29,2.12,2.21,81.83,228.22,123.14,16.46,4.52,19.71,0.58,0.34,73.32,58.2,51.09,39.24,41.93,47.74,43.51,20.35,47.95,114.12,40.04,18.32,115.23,69.54,35.81,39.92,38.54,40.04,20.54,3.73,0.62,0,0,0,0.03,0.11,Inf,Inf,Inf,156.35,56.75,0,0,1.02,0.31,0.11,4.39,26.91,0,0,0,6.86,3.11,1.55,0.66,0.41,40.97,42.27,42.92,40.14,37.2,232.58,52.55,22.38,2.47,1.89,105.45,6.79,3.89,1.83,2.62,21.9,75.94,2,237.7,0.73,74.03,0.38,284.55,55.39,0.18,0.01,102.86,73.54,0.16,0.53,205.56,0.22,318.81,0.29,1.25,0.39,145.31,5.18,
CF183,10/1/88,9/30/14,0.28,0.83,0.76,0.57,0.05,0.04,1.32,0.26,0.39,3.1,0.0033435,0.00991375,0.03283,0.148825,0.58945,0.0053075,0.28,0.03,293.53,206.15,9.33,176.97,29.25,15.02,19.57,7,4.63,0.3,0.28,0.41,0.29,0.26,0.31,0.26,0.25,0.34,0.21,0.22,0.23,255,235,235,225,236,229,210,262,278,281,272,264,6.67,1,2.25,78.45,0.24,0.01,2.17,0.33,0.89,0.09,0.02,0.03,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,200.4,0.03,0,0.01,0.01,95.89,0.32,0.09,148.19,0,3.55,3.14,4.66,3.11,3.03,3.27,2.26,3.32,4.07,2.81,2.59,2.71,81.31,253.64,149.14,19.68,4.96,17.51,0.55,0.35,90.44,70.85,62.57,47.63,50.22,56.13,52.91,20.65,47.71,119.5,40.69,16.98,120.35,74.77,35.12,40.42,39.73,40.69,20.81,2.12,0.62,0,0,0,0.04,0.13,Inf,Inf,Inf,125.39,54.9,0,0,1.22,0.3,0.1,4.3,29,0,0,0,8.36,3.78,1.87,0.79,0.49,40.08,41.49,42.47,39.89,36.5,254.65,56.96,24.06,2.49,1.92,89.58,6.58,3.55,1.79,2.48,21.75,75.94,2,237.7,0.74,74.86,0.38,271.37,63.57,0.18,0.01,111.07,70.57,0.16,0.63,208.39,0.28,310.46,0.3,1.26,0.45,149.31,5.18,
CF184,10/1/88,9/30/14,0.19,0.82,0.75,0.56,0.05,0.05,1.39,0.18,0.41,3.05,0.003011,0.0074775,0.022605,0.1148,0.405,0.004342,0.19,0.02,292.87,197.47,9.5,134.73,28.07,15.35,20.12,7.92,5.37,0.21,0.2,0.29,0.21,0.18,0.21,0.18,0.17,0.23,0.14,0.15,0.16,249,227,227,217,228,226,207,263,277,279,272,264,6.5,0.99,2.27,78.42,0.24,0.01,2.26,0.35,0.86,0.06,0.02,0.03,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0,0,0.01,203.69,0.06,0.01,0.03,0.01,78.42,0.66,0.12,98.9,0,2.44,2.15,3.16,2.09,2.08,2.19,1.5,2.27,2.8,1.88,1.75,1.83,82.46,234.29,151.41,20.27,5.74,22.36,0.6,0.34,94.75,75.63,65.66,48.55,50.75,56.54,54.01,20.27,50.67,114.58,39.85,18.57,131.54,80.96,34.81,39.27,39,39.85,20.42,3.54,0.65,0,0,0,0.03,0.09,Inf,Inf,Inf,146.59,60.58,0,0,1.33,0.33,0.13,4.49,28.23,0,0,0,5.69,2.55,1.26,0.54,0.33,42.02,43.7,43.77,40.91,39.26,251.71,55.74,23.89,2.51,1.85,103.16,6.79,4.45,2.04,2.62,22.29,69.38,2,237.5,0.73,73.75,0.41,285,55.35,0.18,0.01,102.86,73.54,0.16,0.43,208.73,0.19,314.74,0.3,1.19,0.3,147,5.83,
CF186,10/1/88,9/30/14,0.44,0.85,0.78,0.59,0.05,0.04,1.28,0.4,0.37,3.21,0.0040225,0.01419,0.044945,0.195725,0.9398,0.00713475,0.44,0.04,305.11,219.25,11,234.1,28.42,13.8,23.43,7.16,4.54,0.46,0.43,0.64,0.45,0.41,0.49,0.41,0.39,0.54,0.34,0.35,0.35,266,249,248,240,251,237,217,266,282,287,277,270,6.83,1.03,2.3,79.08,0.23,0.01,2.03,0.34,0.9,0.09,0.02,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0,0.01,0.01,189.62,0.02,0,0,0.01,105.12,0.18,0.06,168.54,0,5.73,5.13,7.61,5.14,4.84,5.33,3.75,5.27,6.56,4.6,4.24,4.42,80.67,287.54,180.67,23.54,4.89,13.66,0.51,0.36,107.13,82.09,74.68,57.43,59.72,66.83,62.63,21.27,46.1,124.88,43,13.06,116.46,74.92,35.38,42.35,41.5,43,21.38,2.08,0.58,0,0,0,0.05,0.19,Inf,Inf,Inf,121.51,53.97,0,0,1.11,0.32,0.09,4.32,31.54,0,0,0,13.64,6.09,3.02,1.28,0.77,38.35,40.03,41.27,38.56,35.5,303.48,67.19,28.48,2.53,1.82,54.92,6.69,2.87,1.71,2.2,21.34,77.73,2,251.3,0.77,77.86,0.4,258.07,64.98,0.17,0.02,111.07,70.57,0.16,1.04,206.36,0.46,313.5,0.3,1.43,0.52,148.92,5.39,
CF187,10/1/88,9/30/14,1.23,0.73,0.68,0.52,0.05,0.09,-1.2,1.14,0.44,2.71,0.041925,0.127475,0.39865,1.01425,2.158,0.0666425,1.23,0.4,252.34,138.97,3.07,51.55,12.86,7.96,5.3,2.82,2.22,1.48,1.39,1.84,1.51,1.12,1.19,0.97,0.88,1.35,0.97,1.01,1.02,201,172,175,163,190,188,190,229,251,233,229,200,6.85,1.33,2.57,83.55,0.33,0.01,2.41,0.38,1.2,0.07,0.35,0.51,0.54,0.43,0.2,0.16,0.18,0.13,0.12,0.1,0.11,0.27,139.55,0.01,0.01,0.01,0.02,138.76,0.63,0.29,178.39,0,13.9,11.26,16.27,12.52,11.53,10.29,9.06,10.87,15.79,11.31,10.7,9.25,90.88,77.53,42.9,5.4,2.54,11.73,0.14,0.3,33.4,21.99,21.38,14.4,18.47,25.9,17.45,17.42,50.17,51.15,29.04,20.07,74.81,27.73,26.31,28.62,21.31,29.04,17.62,3.38,0.65,0.01,0.01,0.03,0.17,0.48,162.99,216.8,169.78,164.15,77.46,0.03,0.08,0.43,0.32,0.11,5.21,29.71,0,0,0,33.11,15.01,7.73,3.44,2.17,42.4,48.29,43.56,39.59,41.77,83.06,19.39,8.63,2.8,1.98,87.71,10.95,2.75,1.28,3.44,43.78,57.04,2,242.67,0.6,67.42,0.35,281.55,58.94,0.19,0.01,214.66,78.06,0.22,2.14,241.73,0.93,356.73,0.3,0.65,0.21,147.5,6.04,
CF188,10/1/88,9/30/14,0.28,0.73,0.67,0.51,0.05,0.1,-1.32,0.26,0.46,2.74,0.009568,0.0267775,0.089515,0.24095,0.5161,0.01488,0.28,0.09,256.08,136.52,3.11,54,14.18,9.01,5.63,3.01,2.38,0.34,0.32,0.43,0.37,0.27,0.29,0.22,0.19,0.31,0.22,0.23,0.22,203,175,168,159,181,181,187,222,240,228,228,197,7.48,1.49,2.9,86.78,0.43,0.01,2.57,0.43,1.21,0.1,0.07,0.12,0.13,0.11,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.06,149.9,0.03,0.01,0.02,0.02,111.34,0.99,0.29,130.35,0,3.17,2.59,3.67,3.04,2.63,2.38,2.09,2.27,3.61,2.56,2.5,1.92,94.49,73.72,44.2,5.74,2.68,21.16,-0.49,0.29,34.89,24.46,22.49,14.57,19.3,26.66,18.13,16.92,54.05,52.12,27.35,21.69,79.5,28.27,25.92,26.54,20.62,27.35,17.15,3.08,0.62,0,0,0.01,0.04,0.11,Inf,Inf,116.01,153.43,82.23,0,0.11,0.45,0.3,0.11,5.17,30.04,0,0,0,7.79,3.58,1.85,0.8,0.51,40.05,49.99,43.85,39.96,43.62,87.02,20.67,8.94,2.82,2.05,92,11.06,3.22,1.34,3.72,45.06,64.85,2,245,0.72,72.67,0.38,277.11,46.59,0.18,0.01,204.8,78.93,0.22,0.49,249.69,0.2,376.54,0.29,0.62,0.2,141.35,5.51,
CF189,10/1/88,9/30/14,0.74,0.43,0.33,0.24,0.11,0.13,-0.26,0.75,0.31,1.05,0.16405,0.31825,0.5892,0.9466,1.445,0.21725,0.74,0.59,93.45,67.41,1.25,8.82,4.01,2.98,2.17,1.36,1.07,0.83,0.87,0.97,0.77,0.57,0.6,0.57,0.66,0.9,0.8,0.68,0.7,43,44,45,54,58,75,73,73,87,74,55,61,4.36,0.84,1.74,64.26,0.14,0.02,1.47,0.4,0.78,-0.01,0.48,0.54,0.58,0.34,0.28,0.25,0.26,0.34,0.38,0.39,0.36,0.38,80.15,0.11,0.09,0.1,0.13,57.56,9.44,0.65,71.93,0,2.12,2.15,2.8,2.31,1.89,2.68,1.83,2.15,4.33,3.33,2.07,2.24,102.94,10.65,5.36,2.45,1.6,31.08,0.08,0.2,10.31,3.52,5.81,2.89,5.73,12.77,3.68,12.12,51.7,6.42,17.46,28.67,19.62,1.88,17.88,9.96,1.77,17.46,12.65,3.08,0.5,0.07,0.08,0.1,0.2,0.34,74.68,66.34,60.85,65.71,51.84,0.12,0.17,0.34,0.54,0.28,7.36,39.74,0,0,0,8.08,4.08,2.61,1.68,1.15,60.65,47.21,37.78,35.39,35.71,13.71,4.43,2.85,2.35,3.8,81.02,13.58,1.77,1.05,5.49,40.03,70.25,2,230.3,0.72,72.22,0.38,219.05,61.65,0.17,0.01,236.5,71.33,0.22,0.43,255.08,0.15,364.49,0.25,0.23,0.08,123.81,7.17,
CF190,10/1/88,9/30/14,0.92,0.43,0.34,0.25,0.11,0.13,-0.23,0.94,0.31,1.09,0.20035,0.38825,0.7163,1.153,1.779,0.26645,0.92,0.72,96.77,67.67,1.28,8.89,4,2.97,2.19,1.36,1.06,1.03,1.07,1.2,0.95,0.7,0.74,0.71,0.81,1.11,0.99,0.84,0.87,45,47,49,57,63,81,78,77,93,78,59,64,4.45,0.83,1.74,63.91,0.14,0.02,1.45,0.4,0.76,-0.02,0.58,0.66,0.7,0.45,0.33,0.3,0.31,0.41,0.45,0.47,0.45,0.47,79.92,0.11,0.09,0.1,0.13,58.76,9.12,0.64,73.38,0,2.76,2.77,3.65,3.02,2.49,3.5,2.38,2.77,5.63,4.38,2.73,2.95,102.46,11.29,5.67,2.47,1.6,27.05,0.06,0.21,9.84,3.56,5.86,2.98,5.83,12.78,3.76,12.54,51.89,6.38,18.88,25.91,20.65,2.27,19.23,11,2.04,18.88,13.08,3.08,0.5,0.09,0.1,0.13,0.25,0.43,70.68,64.25,56.7,63.95,50.14,0.13,0.18,0.35,0.54,0.28,7.39,35.29,0,0,0,10.52,5.26,3.29,2.07,1.41,59.83,47.1,38.38,35.54,35.87,14.69,4.59,2.89,2.35,3.72,84.25,12.86,1.7,1.11,5.03,39.07,70.25,2,230.3,0.72,73.29,0.38,222.65,61.1,0.17,0.01,236.5,71.33,0.22,0.58,246.56,0.2,360.52,0.25,0.26,0.08,125.5,6.95,
CF192,10/1/88,9/30/14,0.48,0.51,0.53,0.42,0.05,0.02,0.85,0.5,0.25,1.65,0.09872,0.17805,0.2998,0.48085,0.867,0.1246,0.48,0.3,153.92,83.2,1.6,8.79,3.66,2.7,2.56,1.34,1.01,0.48,0.51,0.58,0.48,0.36,0.45,0.44,0.49,0.63,0.48,0.44,0.41,90,94,105,109,111,130,120,128,137,124,117,104,4.78,0.75,1.47,58.98,0.16,0.02,0.99,0.29,0.66,-0.04,0.23,0.26,0.28,0.22,0.14,0.12,0.15,0.17,0.19,0.2,0.18,0.2,71.06,0.15,0.1,0.14,0.13,62.4,9.77,0.52,77.45,0,2.33,2.44,3.4,3.03,2.23,2.77,2.42,2.92,4.9,3.74,2.68,2.31,91.17,24.95,12.12,2.89,1.6,24.02,0.37,0.34,10.53,5.59,7.15,5.03,7.73,13.53,5.63,17.12,46.69,2.69,32.62,15.07,34.27,10.23,28.27,24.5,8.65,32.62,17.5,3.15,0.46,0.05,0.05,0.07,0.13,0.25,72.93,75.88,60.74,39.16,31.24,0.17,0.23,0.43,0.59,0.33,5,35.81,0,0,0,8.69,4.1,2.24,1.1,0.74,53.56,44.96,45.82,36.27,32.81,28.99,7.47,3.67,2.21,2.45,56.45,8.64,1.39,1.18,2.92,31.29,68.4,2,210.3,0.71,71.56,0.42,204.43,69.79,0.17,0.01,228.1,74.72,0.25,0.61,204.84,0.21,343.27,0.26,0.49,0.06,132.69,5.45,
CF193,10/1/88,9/30/14,0.28,0.5,0.48,0.37,0.06,0.03,-0.62,0.29,0.26,1.5,0.051595,0.106375,0.1875,0.306,0.5338,0.0691125,0.28,0.19,140.59,79.83,1.47,10.35,4.02,2.88,2.54,1.39,1.05,0.29,0.32,0.36,0.3,0.22,0.26,0.25,0.27,0.35,0.28,0.25,0.24,77,81,92,96,101,125,117,124,134,120,113,98,4.56,0.77,1.53,60.13,0.17,0.02,1.07,0.3,0.7,-0.03,0.15,0.17,0.19,0.15,0.09,0.07,0.09,0.1,0.1,0.12,0.11,0.12,77.98,0.12,0.09,0.1,0.12,70.09,8.63,0.55,86.28,0,1.22,1.3,1.85,1.63,1.25,1.54,1.28,1.46,2.59,1.96,1.43,1.22,91.02,21.28,10.23,2.81,1.61,35.71,0.46,0.29,9.47,4.66,6.5,4.37,6.94,13.02,4.98,16.19,47.16,5.77,31.15,15.18,32.5,7.42,27.85,22.5,6.42,31.15,16.5,3.23,0.46,0.02,0.03,0.03,0.08,0.14,105.43,72.97,82.69,42.97,35.96,0.11,0.16,0.43,0.57,0.28,5.3,36.54,0,0,0,4.63,2.19,1.23,0.64,0.44,55.49,47.28,46.44,36.31,33.94,24.69,6.56,3.41,2.29,2.55,59.04,8.51,1.45,1.14,3.05,32.94,68.4,2,210.3,0.71,71.19,0.42,244.73,70.37,0.18,0.01,218.28,74.79,0.25,0.34,196.9,0.11,338.47,0.25,0.5,0.07,127.85,5.65,
CF194,10/1/88,9/30/14,0.21,0.69,0.62,0.44,0.05,0.16,-1.21,0.18,0.48,2.4,0.009341,0.02359,0.081825,0.21525,0.40415,0.01389,0.21,0.08,223.63,116.21,2.62,43.32,14.03,9.13,4.94,2.96,2.4,0.26,0.28,0.36,0.29,0.21,0.18,0.14,0.14,0.2,0.15,0.16,0.16,190,158,140,125,139,147,162,204,213,211,201,174,6.52,1.67,3.07,89.23,0.45,0.01,2.77,0.54,1.3,0.16,0.08,0.12,0.15,0.12,0.06,0.05,0.05,0.03,0.03,0.03,0.03,0.06,134.63,0.06,0.02,0.04,0.03,82.87,2.22,0.43,96.95,0,2.09,2.01,2.52,1.92,1.74,1.28,1.05,1.58,2.24,1.71,1.54,1.2,97.62,52.45,32.65,5.06,2.69,26.09,-0.17,0.28,37.63,22.35,18.08,12.55,16.54,22.99,16.12,15.42,53.79,41.27,20.54,27.31,79.35,21.92,19.15,20.54,16.27,20.54,15.5,2.92,0.54,0,0.01,0.01,0.03,0.07,Inf,52.41,89.81,182.99,102.48,0,0.12,0.37,0.29,0.11,5.78,46.65,0,0,0,5.21,2.36,1.23,0.58,0.38,41.13,46.09,40.59,40.43,46.8,63.67,15.03,7.09,2.74,2.49,91.51,16.86,4.31,1.26,5.08,47.42,76.35,2,271.11,0.72,71.94,0.43,298.2,45.64,0.18,0.01,180.05,80.04,0.28,0.29,272.32,0.12,413.76,0.29,0.27,0.13,137.77,8.23,
CF195,10/1/88,9/30/14,0.52,0.52,0.57,0.48,0.08,0.12,1.52,0.52,0.24,1.97,0.1083,0.1974,0.3182,0.506975,0.8418,0.14095,0.52,0.32,181.46,77.17,1.62,7.78,3.3,2.57,2.29,1.23,0.97,0.46,0.48,0.55,0.42,0.36,0.38,0.46,0.64,0.88,0.61,0.52,0.44,89,84,116,110,117,123,135,134,128,98,105,83,7.08,0.8,1.66,68.67,0.18,0.02,0.93,0.42,0.64,0,0.25,0.28,0.24,0.1,0.1,0.06,0.1,0.21,0.31,0.33,0.28,0.25,76.7,0.09,0.06,0.06,0.13,79.58,5.7,0.5,140.55,0,2.37,2.24,3.66,2.59,2.41,2.09,3.17,5.12,6.58,4.16,3.31,2.25,112.96,37.7,14.71,2.63,1.58,20.31,0.32,0.5,11.7,8.23,10.97,5.14,9.33,16.07,6.24,17.77,40.37,7.58,28.5,18.63,29.19,10.27,26.31,18.77,7.96,28.5,18.62,2.85,0.58,0.03,0.05,0.07,0.15,0.24,147.05,104.12,92.05,48.49,39.39,0.09,0.22,0.47,0.62,0.34,5.09,38.94,0,0,0,11.84,6.08,3.32,1.37,0.84,50.63,52.73,55.77,43.39,31.73,37.21,10.43,4.31,2.13,2.77,52.59,8.41,1.54,1.31,3.3,31.5,76.12,2,254.5,0.72,71.92,0.73,170.68,36.03,0.2,0.01,243.97,63.23,0.41,0.55,275.88,0.23,379.62,0.3,0.27,0.07,134.35,8.3,
CF196,10/1/88,9/30/14,0.53,0.38,0.26,0.19,0.17,0.13,0.28,0.52,0.28,0.8,0.13955,0.263675,0.4476,0.6914,1.01,0.1812,0.53,0.45,70.9,61.71,1.18,7.25,3.49,2.62,1.94,1.22,0.95,0.56,0.59,0.65,0.55,0.4,0.4,0.45,0.54,0.68,0.59,0.5,0.49,29,32,30,37,38,50,51,47,53,50,37,36,3.89,0.85,1.7,62.27,0.15,0.02,1.3,0.36,0.73,0.02,0.35,0.39,0.43,0.34,0.21,0.18,0.25,0.33,0.35,0.33,0.29,0.32,76.26,0.13,0.12,0.12,0.16,56.48,11.85,0.76,67.48,0,1.03,1.14,1.32,1.17,0.84,1.07,1.01,1.07,2.13,1.6,1.13,0.99,95.58,5.97,4,2.25,1.54,57.69,0.35,0.13,11.17,3.15,5.36,2.13,4.76,12.3,2.74,9.08,45.89,4.58,12.19,30.87,14.5,0.58,13.65,4.77,0.5,12.19,9.73,2.65,0.5,0.06,0.07,0.09,0.15,0.25,72.01,62.44,50.92,50.82,44.95,0.13,0.2,0.34,0.59,0.31,9.55,39.85,0,0,0,3.62,2.26,1.68,1.2,0.85,69.85,49.95,35.64,32.42,32.63,8.09,3.75,2.68,2.18,5.2,60.74,16.32,2.9,1.15,7.49,45.41,62.04,2.15,197.6,0.71,71.4,0.38,204.26,64.14,0.18,0.01,233.01,74.84,0.25,0.18,245.52,0.06,313.31,0.24,0.14,0.06,119.54,7.93,
CF197,10/1/88,9/30/14,0.29,0.66,0.61,0.46,0.05,0.12,-1.19,0.27,0.41,2.32,0.01431,0.0492025,0.1333,0.267525,0.55175,0.02482,0.29,0.13,212.12,113.44,2.23,38.67,8.84,5.44,4.14,2.22,1.68,0.37,0.33,0.44,0.38,0.28,0.25,0.23,0.2,0.29,0.22,0.23,0.24,177,141,148,127,147,152,160,178,206,207,208,167,6.48,1.17,2.13,77.31,0.25,0.01,2.13,0.4,1.14,0.08,0.12,0.15,0.16,0.14,0.09,0.06,0.06,0.05,0.05,0.05,0.05,0.08,111.94,0.06,0.03,0.05,0.04,68.63,2.74,0.41,76.22,0,3.43,2.26,3.64,2.71,2.15,1.77,1.64,1.91,2.77,2.21,2.3,1.73,94.91,47.9,25.6,4.25,2.06,24.04,0,0.34,20.07,12.09,13.28,8.73,12.24,18.99,10.52,16.35,46.33,36.77,30.73,22.61,58.31,18.96,27.54,28.19,16,30.73,16.27,4,0.58,0.01,0.01,0.01,0.05,0.12,62.45,80.54,108.23,115.87,68.65,0.08,0.08,0.38,0.37,0.11,5.33,30.03,0,0,0,6.99,3.11,1.59,0.74,0.49,45.76,50.2,46.13,42.8,42.13,52.44,11.93,5.55,2.64,2.03,100.48,9.67,2.03,1.17,3.5,30.99,58.71,2,208.78,0.72,71.87,0.27,280.17,53.83,0.18,0.01,66.31,73.73,0.18,0.37,262.59,0.2,348.05,0.35,0.3,0.11,151.54,5.97,
CF198,10/1/88,9/30/14,0.19,0.71,0.65,0.48,0.05,0.12,-1.22,0.17,0.41,2.51,0.0073985,0.02336,0.0666,0.164725,0.3619,0.0120875,0.19,0.07,228.24,131.82,2.71,49,11.67,7.05,5.07,2.69,2.02,0.24,0.21,0.29,0.24,0.18,0.16,0.15,0.13,0.19,0.14,0.14,0.15,196,162,163,143,163,169,173,198,224,228,232,187,6.66,1.14,2.21,78.82,0.28,0.01,2.07,0.4,1.13,0.07,0.06,0.09,0.09,0.08,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.04,128.54,0.06,0.02,0.05,0.03,71.05,2.26,0.33,74.5,0,2.42,1.57,2.52,1.91,1.52,1.27,1.15,1.3,1.93,1.56,1.64,1.22,92.32,61.84,32.9,5.17,2.35,29.02,-0.04,0.36,23.46,15.98,15.71,11.17,14.5,20.86,13.18,17.04,51.29,45,33.08,22.05,71.81,26.58,30.81,31.08,20.88,33.08,16.88,3.81,0.58,0,0.01,0.01,0.03,0.08,Inf,40.62,56.31,116.92,62.82,0,0.15,0.45,0.35,0.11,5,27.41,0,0,0,4.82,2.17,1.1,0.49,0.32,44.29,49.63,45.3,42.88,42.94,72.37,16.52,7.36,2.76,1.78,89.1,8.01,2.57,1.26,3.15,31.17,58.71,2,208.78,0.71,71.68,0.27,284.78,50.42,0.18,0.01,48.38,75.27,0.18,0.27,252.83,0.14,342.8,0.34,0.41,0.14,149.85,6.22,
CF199,10/1/88,9/30/14,0.18,0.71,0.65,0.48,0.05,0.12,-1.22,0.17,0.41,2.52,0.007279,0.0226575,0.065175,0.1627,0.3582,0.0118225,0.18,0.07,239.3,132.62,2.57,49.28,11.82,7.18,5.02,2.67,2,0.24,0.21,0.28,0.24,0.18,0.16,0.15,0.13,0.19,0.14,0.14,0.15,197,163,163,144,164,170,174,199,225,229,233,188,6.69,1.14,2.22,78.88,0.28,0.01,2.07,0.4,1.13,0.07,0.06,0.08,0.09,0.08,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.04,129.46,0.06,0.02,0.05,0.03,70.41,2.28,0.33,73.03,0,2.4,1.56,2.5,1.9,1.51,1.26,1.14,1.29,1.92,1.55,1.63,1.22,92.19,62.42,32.64,5.12,2.32,29.13,-0.04,0.36,22.9,15.83,15.66,11.23,14.49,20.82,13.1,17.12,50.97,45.5,33.08,21.7,70.62,26.35,31.19,31.04,20.73,33.08,16.96,3.69,0.58,0,0,0.01,0.03,0.08,Inf,Inf,55.18,115.4,62.02,0,0.15,0.46,0.35,0.11,5,26.48,0,0,0,4.79,2.16,1.09,0.49,0.32,44.17,49.46,45.32,42.48,42.54,73.49,16.72,7.52,2.76,1.78,88.76,7.96,2.59,1.26,3.14,31.12,58.71,2,208.78,0.71,71.6,0.27,282.58,48.57,0.18,0.01,48.38,75.27,0.18,0.27,251.53,0.14,339.95,0.34,0.42,0.14,149.12,6.2,
CF200,10/1/88,9/30/14,0.35,0.64,0.59,0.45,0.05,0.13,-1.17,0.32,0.41,2.23,0.01815,0.0646975,0.1733,0.3348,0.6551,0.03182,0.35,0.17,202.46,106.44,2.06,36.17,8.21,5.18,3.75,2.05,1.59,0.45,0.4,0.52,0.46,0.33,0.29,0.28,0.25,0.35,0.26,0.27,0.29,168,132,142,121,140,145,155,169,199,198,199,158,6.42,1.14,2.14,77.02,0.24,0.01,2.16,0.43,1.14,0.09,0.15,0.2,0.21,0.18,0.11,0.08,0.08,0.07,0.06,0.06,0.07,0.11,108.22,0.05,0.03,0.05,0.04,69.96,2.73,0.44,82.29,0,3.95,2.61,4.22,3.12,2.46,2.02,1.88,2.22,3.2,2.54,2.63,1.98,96.43,43.79,22.59,3.86,1.97,22.67,-0.01,0.33,18.6,10.88,12,7.96,11.42,17.91,9.44,15.92,46.52,34.85,29.58,21.49,51.85,16.65,26.19,26.08,14.35,29.58,15.85,4.12,0.58,0.01,0.01,0.02,0.06,0.14,81.77,106.76,70.3,119.27,72.29,0.06,0.12,0.35,0.37,0.1,5.54,30.18,0,0,0,8.13,3.61,1.85,0.88,0.59,46.46,50.54,46.63,42.73,41.6,46.91,10.68,5.08,2.61,2.21,97.71,12.08,1.98,1.15,3.55,31.74,71.75,2,221.8,0.72,72.08,0.33,277.31,55.19,0.18,0.01,66.31,73.73,0.18,0.41,272.49,0.22,366.86,0.35,0.25,0.11,153.62,5.96,
